# ID,X,Y,Z
0,0.729636,-0.356747,-0.000000
1,0.728392,-0.356747,0.000098
2,0.727148,-0.356747,0.000191
3,0.725904,-0.356747,0.000281
4,0.724660,-0.356747,0.000366
5,0.723415,-0.356747,0.000448
6,0.722170,-0.356747,0.000525
7,0.720925,-0.356747,0.000599
8,0.719679,-0.356747,0.000668
9,0.718433,-0.356747,0.000734
10,0.717188,-0.356747,0.000795
11,0.715941,-0.356747,0.000853
12,0.714695,-0.356747,0.000906
13,0.713449,-0.356747,0.000955
14,0.712202,-0.356747,0.001001
15,0.710955,-0.356747,0.001042
16,0.709709,-0.356747,0.001079
17,0.708462,-0.356747,0.001113
18,0.707215,-0.356747,0.001142
19,0.705967,-0.356747,0.001167
20,0.704720,-0.356747,0.001188
21,0.703473,-0.356747,0.001205
22,0.702226,-0.356747,0.001218
23,0.700978,-0.356747,0.001227
24,0.699731,-0.356747,0.001232
25,0.698483,-0.356747,0.001234
26,0.697236,-0.356747,0.001230
27,0.695989,-0.356747,0.001223
28,0.694741,-0.356747,0.001212
29,0.693494,-0.356747,0.001197
30,0.692247,-0.356747,0.001178
31,0.691000,-0.356747,0.001155
32,0.689752,-0.356747,0.001128
33,0.688505,-0.356747,0.001096
34,0.687259,-0.356747,0.001061
35,0.686012,-0.356747,0.001022
36,0.684765,-0.356747,0.000979
37,0.683519,-0.356747,0.000931
38,0.682272,-0.356747,0.000880
39,0.681026,-0.356747,0.000825
40,0.679780,-0.356747,0.000765
41,0.678534,-0.356747,0.000702
42,0.677289,-0.356747,0.000634
43,0.676043,-0.356747,0.000563
44,0.674798,-0.356747,0.000487
45,0.673553,-0.356747,0.000408
46,0.672309,-0.356747,0.000324
47,0.671064,-0.356747,0.000237
48,0.669820,-0.356747,0.000145
49,0.668577,-0.356747,0.000049
50,0.668577,-0.356747,-0.000049
51,0.669820,-0.356747,-0.000145
52,0.671064,-0.356747,-0.000237
53,0.672309,-0.356747,-0.000324
54,0.673553,-0.356747,-0.000408
55,0.674798,-0.356747,-0.000487
56,0.676043,-0.356747,-0.000563
57,0.677289,-0.356747,-0.000634
58,0.678534,-0.356747,-0.000702
59,0.679780,-0.356747,-0.000765
60,0.681026,-0.356747,-0.000825
61,0.682272,-0.356747,-0.000880
62,0.683519,-0.356747,-0.000931
63,0.684765,-0.356747,-0.000979
64,0.686012,-0.356747,-0.001022
65,0.687259,-0.356747,-0.001061
66,0.688505,-0.356747,-0.001096
67,0.689752,-0.356747,-0.001128
68,0.691000,-0.356747,-0.001155
69,0.692247,-0.356747,-0.001178
70,0.693494,-0.356747,-0.001197
71,0.694741,-0.356747,-0.001212
72,0.695989,-0.356747,-0.001223
73,0.697236,-0.356747,-0.001230
74,0.698483,-0.356747,-0.001234
75,0.699731,-0.356747,-0.001232
76,0.700978,-0.356747,-0.001227
77,0.702226,-0.356747,-0.001218
78,0.703473,-0.356747,-0.001205
79,0.704720,-0.356747,-0.001188
80,0.705967,-0.356747,-0.001167
81,0.707215,-0.356747,-0.001142
82,0.708462,-0.356747,-0.001113
83,0.709709,-0.356747,-0.001079
84,0.710955,-0.356747,-0.001042
85,0.712202,-0.356747,-0.001001
86,0.713449,-0.356747,-0.000955
87,0.714695,-0.356747,-0.000906
88,0.715941,-0.356747,-0.000853
89,0.717188,-0.356747,-0.000795
90,0.718433,-0.356747,-0.000734
91,0.719679,-0.356747,-0.000668
92,0.720925,-0.356747,-0.000599
93,0.722170,-0.356747,-0.000525
94,0.723415,-0.356747,-0.000448
95,0.724660,-0.356747,-0.000366
96,0.725904,-0.356747,-0.000281
97,0.727148,-0.356747,-0.000191
98,0.728392,-0.356747,-0.000098
99,0.729636,-0.356747,-0.000000
