# ID,X,Y,Z
0,0.793228,-0.112778,0.000000
1,0.786256,-0.112778,-0.000593
2,0.779281,-0.112778,-0.001162
3,0.772304,-0.112778,-0.001707
4,0.765326,-0.112778,-0.002227
5,0.758345,-0.112778,-0.002723
6,0.751363,-0.112778,-0.003194
7,0.744380,-0.112778,-0.003641
8,0.737394,-0.112778,-0.004064
9,0.730408,-0.112778,-0.004461
10,0.723420,-0.112778,-0.004835
11,0.716431,-0.112778,-0.005184
12,0.709440,-0.112778,-0.005508
13,0.702449,-0.112778,-0.005809
14,0.695456,-0.112778,-0.006084
15,0.688463,-0.112778,-0.006335
16,0.681469,-0.112778,-0.006562
17,0.674474,-0.112778,-0.006764
18,0.667478,-0.112778,-0.006942
19,0.660482,-0.112778,-0.007095
20,0.653485,-0.112778,-0.007223
21,0.646488,-0.112778,-0.007327
22,0.639490,-0.112778,-0.007407
23,0.632493,-0.112778,-0.007462
24,0.625495,-0.112778,-0.007493
25,0.618497,-0.112778,-0.007499
26,0.611499,-0.112778,-0.007481
27,0.604501,-0.112778,-0.007438
28,0.597504,-0.112778,-0.007370
29,0.590506,-0.112778,-0.007278
30,0.583509,-0.112778,-0.007162
31,0.576513,-0.112778,-0.007021
32,0.569517,-0.112778,-0.006856
33,0.562522,-0.112778,-0.006666
34,0.555527,-0.112778,-0.006452
35,0.548533,-0.112778,-0.006213
36,0.541540,-0.112778,-0.005949
37,0.534548,-0.112778,-0.005662
38,0.527557,-0.112778,-0.005349
39,0.520567,-0.112778,-0.005013
40,0.513579,-0.112778,-0.004651
41,0.506592,-0.112778,-0.004266
42,0.499606,-0.112778,-0.003855
43,0.492621,-0.112778,-0.003421
44,0.485638,-0.112778,-0.002962
45,0.478657,-0.112778,-0.002478
46,0.471678,-0.112778,-0.001970
47,0.464700,-0.112778,-0.001438
48,0.457724,-0.112778,-0.000881
49,0.450751,-0.112778,-0.000300
50,0.450751,-0.112778,0.000300
51,0.457724,-0.112778,0.000881
52,0.464700,-0.112778,0.001438
53,0.471678,-0.112778,0.001970
54,0.478657,-0.112778,0.002478
55,0.485638,-0.112778,0.002962
56,0.492621,-0.112778,0.003421
57,0.499606,-0.112778,0.003855
58,0.506592,-0.112778,0.004266
59,0.513579,-0.112778,0.004651
60,0.520567,-0.112778,0.005013
61,0.527557,-0.112778,0.005349
62,0.534548,-0.112778,0.005662
63,0.541540,-0.112778,0.005949
64,0.548533,-0.112778,0.006213
65,0.555527,-0.112778,0.006452
66,0.562522,-0.112778,0.006666
67,0.569517,-0.112778,0.006856
68,0.576513,-0.112778,0.007021
69,0.583509,-0.112778,0.007162
70,0.590506,-0.112778,0.007278
71,0.597504,-0.112778,0.007370
72,0.604501,-0.112778,0.007438
73,0.611499,-0.112778,0.007481
74,0.618497,-0.112778,0.007499
75,0.625495,-0.112778,0.007493
76,0.632493,-0.112778,0.007462
77,0.639490,-0.112778,0.007407
78,0.646488,-0.112778,0.007327
79,0.653485,-0.112778,0.007223
80,0.660482,-0.112778,0.007095
81,0.667478,-0.112778,0.006942
82,0.674474,-0.112778,0.006764
83,0.681469,-0.112778,0.006562
84,0.688463,-0.112778,0.006335
85,0.695456,-0.112778,0.006084
86,0.702449,-0.112778,0.005809
87,0.709440,-0.112778,0.005508
88,0.716431,-0.112778,0.005184
89,0.723420,-0.112778,0.004835
90,0.730408,-0.112778,0.004461
91,0.737394,-0.112778,0.004064
92,0.744380,-0.112778,0.003641
93,0.751363,-0.112778,0.003194
94,0.758345,-0.112778,0.002723
95,0.765326,-0.112778,0.002227
96,0.772304,-0.112778,0.001707
97,0.779281,-0.112778,0.001162
98,0.786256,-0.112778,0.000593
99,0.793228,-0.112778,0.000000
