# ID,X,Y,Z
0,0.759213,-0.145333,0.003964
1,0.766184,-0.145333,0.003611
2,0.773155,-0.145333,0.003235
3,0.780124,-0.145333,0.002838
4,0.787092,-0.145333,0.002420
5,0.794059,-0.145333,0.001979
6,0.801024,-0.145333,0.001517
7,0.807988,-0.145333,0.001033
8,0.814951,-0.145333,0.000527
9,0.821911,-0.145333,-0.000000
10,0.821911,-0.145333,-0.000000
11,0.814951,-0.145333,-0.000527
12,0.807988,-0.145333,-0.001033
13,0.801024,-0.145333,-0.001517
14,0.794059,-0.145333,-0.001979
15,0.787092,-0.145333,-0.002420
16,0.780124,-0.145333,-0.002838
17,0.773155,-0.145333,-0.003235
18,0.766184,-0.145333,-0.003611
19,0.759213,-0.145333,-0.003964
20,0.752240,-0.145333,-0.004296
21,0.745266,-0.145333,-0.004606
22,0.738292,-0.145333,-0.004895
23,0.731316,-0.145333,-0.005161
24,0.724340,-0.145333,-0.005406
25,0.717363,-0.145333,-0.005629
26,0.710385,-0.145333,-0.005830
27,0.703407,-0.145333,-0.006010
28,0.696428,-0.145333,-0.006168
29,0.689449,-0.145333,-0.006304
30,0.682469,-0.145333,-0.006418
31,0.675489,-0.145333,-0.006510
32,0.668509,-0.145333,-0.006581
33,0.661528,-0.145333,-0.006630
34,0.654548,-0.145333,-0.006657
35,0.647567,-0.145333,-0.006663
36,0.640586,-0.145333,-0.006647
37,0.633606,-0.145333,-0.006608
38,0.626625,-0.145333,-0.006549
39,0.619645,-0.145333,-0.006467
40,0.612665,-0.145333,-0.006364
41,0.605686,-0.145333,-0.006238
42,0.598707,-0.145333,-0.006092
43,0.591728,-0.145333,-0.005923
44,0.584750,-0.145333,-0.005732
45,0.577773,-0.145333,-0.005520
46,0.570796,-0.145333,-0.005286
47,0.563820,-0.145333,-0.005031
48,0.556845,-0.145333,-0.004753
49,0.549871,-0.145333,-0.004454
50,0.542898,-0.145333,-0.004133
51,0.535925,-0.145333,-0.003790
52,0.528954,-0.145333,-0.003426
53,0.521984,-0.145333,-0.003040
54,0.515016,-0.145333,-0.002632
55,0.508048,-0.145333,-0.002202
56,0.501082,-0.145333,-0.001751
57,0.494118,-0.145333,-0.001278
58,0.487155,-0.145333,-0.000783
59,0.480193,-0.145333,-0.000266
60,0.480193,-0.145333,0.000266
61,0.487155,-0.145333,0.000783
62,0.494118,-0.145333,0.001278
63,0.501082,-0.145333,0.001751
64,0.508048,-0.145333,0.002202
65,0.515016,-0.145333,0.002632
66,0.521984,-0.145333,0.003040
67,0.528954,-0.145333,0.003426
68,0.535925,-0.145333,0.003790
69,0.542898,-0.145333,0.004133
70,0.549871,-0.145333,0.004454
71,0.556845,-0.145333,0.004753
72,0.563820,-0.145333,0.005031
73,0.570796,-0.145333,0.005286
74,0.577773,-0.145333,0.005520
75,0.584750,-0.145333,0.005732
76,0.591728,-0.145333,0.005923
77,0.598707,-0.145333,0.006092
78,0.605686,-0.145333,0.006238
79,0.612665,-0.145333,0.006364
80,0.619645,-0.145333,0.006467
81,0.626625,-0.145333,0.006549
82,0.633606,-0.145333,0.006608
83,0.640586,-0.145333,0.006647
84,0.647567,-0.145333,0.006663
85,0.654548,-0.145333,0.006657
86,0.661528,-0.145333,0.006630
87,0.668509,-0.145333,0.006581
88,0.675489,-0.145333,0.006510
89,0.682469,-0.145333,0.006418
90,0.689449,-0.145333,0.006304
91,0.696428,-0.145333,0.006168
92,0.703407,-0.145333,0.006010
93,0.710385,-0.145333,0.005830
94,0.717363,-0.145333,0.005629
95,0.724340,-0.145333,0.005406
96,0.731316,-0.145333,0.005161
97,0.738292,-0.145333,0.004895
98,0.745266,-0.145333,0.004606
99,0.752240,-0.145333,0.004296
